stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AAPL,173.07000732421875,4.732748825543894,7.314736229549505,7.604055486327098,13.606609098010983,3.448912160817794,-77.07160266613367,36.65170184226176,-0.15668469416580466
MSFT,310.20001220703125,7.88457773895567,10.724941843879217,12.422053775675693,15.944339579878083,4.8705045577952255,-30.921637595370612,23.74285953334521,-0.11543981837098531
AMZN,3242.760009765625,88.94060056216131,117.7073952734139,134.4587510312722,164.79164357979062,54.001433039218796,-355.03451981847775,212.02863015819094,-1.9829936216204125
TSLA,1049.6099853515625,77.94267837819848,108.20550278004121,129.94543200690964,165.40234197973402,47.761403569929534,-306.65762571636117,307.519772487452,-1.9518578259847637
GOOGL,2789.610107421875,69.04976899157782,107.3922078449183,111.83210543142468,203.89174179606678,48.289028536680185,-1235.7217477235852,320.4072022344417,-2.7369629968458304
GOOG,2795.72998046875,65.70965009456768,116.67803252641716,113.25219429537765,255.06818642403786,54.86122052124361,-1794.3714714910302,469.4424237309072,-2.3467863886690723
FB,331.8999938964844,11.202189277001821,14.159989007261416,15.945924937551013,18.86660071315866,6.782169373352476,-26.60146878812202,28.54921699939041,0.10880136251367148
NVDA,269.4200134277344,17.10747626983533,22.66723655102388,25.785065875881088,32.98796820741214,10.103729305854849,-69.84747373424014,39.86459397698701,-0.9570265982150659
BRK-B,324.1300048828125,5.116688062460867,6.959188841786808,8.138387188765535,10.022463799222141,3.0920897227074464,-14.266035834313186,15.475325066426876,-0.22291208956551886
JPM,157.88999938964844,3.3627661264936535,4.805189637261886,5.660940962027212,7.30093481966733,2.2149488124305234,-14.025944849608493,18.948494802752492,-0.02052347120009158
JNJ,167.83999633789062,2.5259301314623883,3.215979183968351,3.6509269365442947,4.342710668165157,1.5178115911871488,-5.703696204590699,6.193307072387739,0.027947781038291868
UNH,468.69000244140625,9.4672389422268,12.857601338553653,14.561542160550573,18.59063840623613,6.053752199217958,-32.63798103355339,34.63084569330158,0.24819646836406273
HD,372.0,8.223669248406395,12.897331240937273,15.284617242676518,22.288958787102775,5.782036749109088,-49.93278941499773,78.67725182115976,0.16928545000860432
PG,158.95175170898438,2.152577516772709,2.9754820130367308,3.3725839310579033,4.328378168991114,1.3901353980788744,-8.09123378037583,7.810643043421777,0.1062424824239409
V,214.6699981689453,6.080757458282989,9.060270612191104,10.959302046653676,14.557055450055227,4.421788273238104,-32.3977593651295,42.75626891794445,0.43865801737359233
BAC,47.90999984741211,1.2410557270988676,1.550118613032046,1.7261298100601081,2.0100936276529175,0.7479242896528197,-2.924548142792041,3.1037546779481318,-0.010000206532984874
MA,372.1400146484375,13.431453618125431,17.894586875769352,21.1463170864929,25.317664405540818,8.567794748924486,-37.875748355900214,41.888216247714126,0.17576621829839856
PFE,54.95000076293945,2.3055969257310736,3.452740791738765,4.002728645360712,5.614890207461318,1.5661950902729713,-16.11128084943652,17.900669171421953,-0.06103689220963577
XOM,71.87000274658203,1.9551208852388555,2.539750951755738,2.9442319325495276,3.3901176997863995,1.2268851578074427,-5.364006426457891,5.273644848467455,0.001854581436018404
DIS,151.94000244140625,3.4840646544357696,5.300254952667131,6.0834464265340955,9.087395392291937,2.7281123470510726,-21.308078919954568,97.46777245911929,-0.00643123931851444
CSCO,61.36000061035156,1.2571111087758808,1.8756302174880244,2.152370692561938,3.0103227742471677,0.8508565362267387,-6.715344072352529,10.092939783424427,0.032257807376095966
AVGO,596.3699951171875,19.49115317107521,29.225570464114796,33.672975440348864,51.01206014801789,12.637288065633776,-163.8084856740042,67.1501636285567,-0.9983916624308371
ADBE,520.5999755859375,18.832087019459948,33.38675888458349,38.46931791208203,70.22278664178799,16.13849208813393,-226.24046742698602,322.0916872991721,1.2231835578092412
CVX,128.9600067138672,2.5694761761427003,3.2601854576420437,3.7297088729195877,4.2693817968466306,1.594951046572783,-6.24116725063034,5.6564074174345365,0.005120589770835585
PEP,175.63999938964844,2.3348401717821616,3.665544984820717,4.192045910821832,6.483221127931748,1.6499692824492174,-19.884965611627933,11.278863823712697,0.11148032042228838
TMO,594.7999877929688,13.541858882112251,21.05208819758387,24.892405943446533,35.69148162627905,9.744834308786743,-75.05004236851335,184.31398644258536,1.0349014829903163
KO,61.38999938964844,0.969576769796312,1.498052136417487,1.7544002768689069,2.571510755926629,0.739333985795787,-7.663520407248257,13.469727157113027,-0.011074073675044087
ABBV,135.8699951171875,2.480830691946835,3.1968134221235105,3.5326495390435753,4.3442748520975645,1.4692860650146584,-8.302445581361525,7.31297498166154,-0.08445696277389149
CMCSA,51.68000030517578,1.143024428166413,1.6821422152942775,1.996898515106345,2.6710059938072384,0.7667733832507866,-7.212338185176478,4.8028603651254045,0.030035299974339843
NFLX,525.6900024414062,16.355116761173292,21.902019256074908,26.076648374620106,30.81004062161316,10.009800932838207,-47.36073293566375,43.43492977084361,-0.4943058736375352
ABT,128.16000366210938,2.5617012110773203,3.280987796007324,3.6850319221533,4.380117433811533,1.604436930529087,-6.204609240988617,7.753175129296977,0.0675756582316121
ACN,353.3599853515625,9.62063226088054,16.915480133259496,18.692839960245294,36.80728262613562,8.19694299685325,-206.5956363660538,99.97072162142808,-0.042891627032425245
COST,502.989990234375,13.214392753487175,18.26163733458207,21.212629978771474,26.455413109418167,8.38652657923359,-46.77834834726167,87.01345609763746,0.17124594639164312
CRM,231.22999572753906,7.391140873182792,11.342389170782814,13.055831228394567,19.135087806625503,5.2457713189498545,-54.47744268701214,34.65589955006408,0.5693350505570014
INTC,55.70000076293945,1.368431927549345,2.540663567206641,2.937917584507261,5.424783574048702,1.2019351659832873,-15.64776910417207,21.71735290961304,0.04688152705335582
WFC,58.060001373291016,1.9384558296761014,2.5785936762761907,3.0007947661016843,3.6540308267172503,1.1839075911850907,-5.842322367498241,7.527154528323479,-0.05396398773922266
VZ,53.279998779296875,0.8156669678020592,1.7421194970722114,1.6813979490566027,4.337817414703529,1.5378962467794295,-100.94751333079648,7.702307548535927,-0.07389149832224608
PYPL,178.4199981689453,7.106498273525574,10.098487814053993,11.45993038475683,15.543474570889197,4.688753500529056,-62.09004048164006,29.19497944013216,0.2074425819798084
WMT,145.05999755859375,2.6258622031913603,3.300334131462894,3.807005258511964,4.192989326970262,1.6084707810594956,-5.436045480685266,5.858946990664606,0.006374649313357651
QCOM,188.69000244140625,7.430962450376057,13.628559908204881,16.06723136261371,27.374518242998988,5.781106022821359,-107.74537332563845,69.8321193311387,-0.7142115686047751
MRK,81.37999725341797,1.9916785876399103,3.9399703731720974,4.716531689001556,8.049457445917554,1.7901388665262117,-29.430884911629185,24.944652890796306,0.12689680332267383
LLY,244.1199951171875,7.319868836225822,10.307847479589997,11.865886401657917,16.167545525208322,4.5398703095717785,-37.60465142814735,33.6350403465255,-0.22621452473519416
